"ONTOLOGY","ID","Description","GeneRatio_num","GeneRatio_den","BgRatio_num","BgRatio_den","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","EntrezID","Count","GeneRatio_val","BgRatio_val"
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"5592",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"2321",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"1740",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"2122",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"64754",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"2066",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"241",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"5218",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"120892",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"5583",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"4249",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"814",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"23043",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"260425",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"1956",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"868",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"57118",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"7325",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"2241",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"55589",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"5579",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"3643",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"2534",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"54986",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"2632",56,0.159090909090909,0.111480865224626
"MF","GO:0016740","transferase activity",56,352,67,601,0.835820895522388,1.42706919945726,4.40567348231631,3.60883659970788e-06,0.00061350222195034,0.000486243247118536,"83857",56,0.159090909090909,0.111480865224626
